工单ID	工单状态	资产名称	分支	扫描类型	命中规则	工单处理人	资产负责人	创建时间	Leader	问题路径	处理节点	工单链接	服务树路径(仅针对TCC检测)	代码详情
85667947	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.aar		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Enterprise/android/tobservicelib-release.aar	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667947_num_
85667946	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.aar		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Enterprise/android/BAuthLib-1.0.0.aar	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667946_num_
85667945	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.aar		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Runtime/Android/pxr_api-release.aar	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667945_num_
85667944	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Platform/Plugins/Windows/RTCFFmpeg.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667944_num_
85667943	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Platform/Plugins/Windows/libpxrplatformloader.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667943_num_
85667942	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Platform/Plugins/Windows/libGLESv2.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667942_num_
85667940	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Platform/Plugins/Windows/VolcEngineRTC.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667940_num_
85667936	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.aar		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Enterprise/android/CameraRenderingPlugin.aar	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667936_num_
85667934	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.aar		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Runtime/Android/PxrPlatform.aar	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667934_num_
85667933	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Platform/Plugins/Windows/openh264-4.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667933_num_
85667932	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Platform/Plugins/Windows/libEGL.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667932_num_
85667930	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.so		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Platform/Plugins/Android64/libpxrplatformloader.so	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667930_num_
